stage,angle_deg,ik_position_error_mm,ik_rotation_error_deg,blue_px,tray_px,left_finger_px,right_finger_px
high_align,15.0,2.6864074493232733e-11,3.1930532139735253e-13,10493,35393,8762,8737
high_align,25.0,2.6864074493232733e-11,3.1930532139735253e-13,11644,33305,16443,16398
high_align,35.0,2.6864074493232733e-11,3.1930532139735253e-13,12880,29777,29788,29774
high_align,45.0,2.6864074493232733e-11,3.1930532139735253e-13,15953,24326,31876,55231
pregrasp,15.0,4.2443407159545416e-10,1.1302268885399721e-11,14065,26257,8336,8315
pregrasp,25.0,4.2443407159545416e-10,1.1302268885399721e-11,15489,27837,15893,15856
pregrasp,35.0,4.2443407159545416e-10,1.1302268885399721e-11,16754,23278,29267,29259
pregrasp,45.0,4.2443407159545416e-10,1.1302268885399721e-11,20380,19415,31323,54683
grasp,15.0,7.1138926443733285e-12,1.8126938463153907e-13,17136,9234,6979,6979
grasp,25.0,7.1138926443733285e-12,1.8126938463153907e-13,19435,12400,14137,14132
grasp,35.0,7.1138926443733285e-12,1.8126938463153907e-13,20586,15114,27537,27559
grasp,45.0,7.1138926443733285e-12,1.8126938463153907e-13,24201,13200,29501,52887
preplace,15.0,2.8242549548924618e-11,3.849625598509289e-13,7457,61362,8762,8737
preplace,25.0,2.8242549548924618e-11,3.849625598509289e-13,6061,71290,16443,16398
preplace,35.0,2.8242549548924618e-11,3.849625598509289e-13,4054,75016,29788,29774
preplace,45.0,2.8242549548924618e-11,3.849625598509289e-13,1526,44918,31876,55231
place,15.0,2.0302615432069487e-11,1.541608562268837e-13,0,93318,7125,7125
place,25.0,2.0302615432069487e-11,1.541608562268837e-13,0,109108,14331,14331
place,35.0,2.0302615432069487e-11,1.541608562268837e-13,0,124380,27690,27712
place,45.0,2.0302615432069487e-11,1.541608562268837e-13,0,84034,29716,53103
