angle_deg,stage,d405_green_clearance_mm,camera_to_tcp_target_mm,blue_px,blue_cx,blue_cy,blue_touches_border,tray_px,tray_cx,tray_cy,tray_touches_border,left_finger_px,right_finger_px
20.0,high_align,13.189484694975151,75.99200245133498,18738,319.5,311.2753762407941,False,957,632.276907001045,434.4169278996865,True,4304,4251
20.0,pregrasp,13.189484694975151,75.99200245095936,30038,319.41996804048205,359.79742326386577,True,0,nan,nan,False,2782,2748
20.0,grasp,13.189484694975151,75.99200245135174,37540,319.5,398.6833244539158,True,0,nan,nan,False,0,0
20.0,preplace,13.189484694975151,75.99200245133322,0,nan,nan,False,99464,319.5,245.16596959704015,True,4304,4251
20.0,place,13.189484694975151,75.99200245133966,0,nan,nan,False,190704,319.5,265.5728458763319,True,0,0
21.0,high_align,12.78679794648926,75.41654484823725,18708,319.5,302.9029292281377,False,1084,631.6881918819188,425.55535055350555,True,4959,4898
21.0,pregrasp,12.78679794648926,75.41654484786177,29997,319.4018068473514,351.53455345534553,True,0,nan,nan,False,3450,3409
21.0,grasp,12.78679794648926,75.41654484825405,39632,319.5,394.82105369398465,True,0,nan,nan,False,0,0
21.0,preplace,12.78679794648926,75.41654484823555,0,nan,nan,False,101286,319.5,238.2926169460735,True,4959,4898
21.0,place,12.78679794648926,75.41654484824194,0,nan,nan,False,193716,319.5,258.11731607094924,True,0,0
22.0,high_align,12.383152347983335,74.84006656779442,18694,319.5,294.5745158874505,False,1207,631.1375310687655,416.94780447390224,True,5645,5579
22.0,pregrasp,12.383152347983335,74.84006656741896,29984,319.39004135538954,342.4671157950907,False,0,nan,nan,False,4155,4110
22.0,grasp,12.383152347983335,74.84006656781114,41852,319.5,390.4788779508745,True,0,nan,nan,False,0,0
22.0,preplace,12.383152347983335,74.84006656779263,0,nan,nan,False,103521,319.50075830024826,230.9105109108297,True,5645,5579
22.0,place,12.383152347983335,74.84006656779908,0,nan,nan,False,196608,319.5,250.5204060872396,True,0,0
