stage,angle_deg,d405_green_clearance_mm,ik_position_error_mm,ik_rotation_error_deg,blue_px,blue_cx,blue_cy,tray_px,tray_cx,tray_cy,left_finger_px,left_finger_cx,left_finger_cy,right_finger_px,right_finger_cx,right_finger_cy
high_align,15.0,9.174489448818566,2.6864074493232733e-11,3.1930532139735253e-13,18693,352.99625528272617,333.43470817953244,0,nan,nan,3087,398.94493035309364,455.3530936183997,3196,336.07509386733415,455.5578848560701
high_align,25.0,11.166786383304487,2.6864074493232733e-11,3.1930532139735253e-13,18850,319.5,269.29050397877984,1524,629.6935695538058,392.4422572178478,7773,355.50533899395344,428.8523092756979,7677,283.9766836003647,428.740263123616
high_align,30.0,9.123410090200366,2.6864074493232733e-11,3.1930532139735253e-13,19404,319.5,227.1480107194393,1883,628.0212426978226,354.4057355284121,11764,359.4075994559674,411.1473138388303,11677,279.86708914961036,411.227113128372
high_align,35.0,7.063747350981567,2.6864074493232733e-11,3.1930532139735253e-13,20606,319.5,183.6258371348151,2016,627.1760912698413,318.3640873015873,17876,370.7967666144551,399.8759789662117,17799,268.3098488679139,400.0819147143098
pregrasp,15.0,9.174489448818566,4.2443407159545416e-10,1.1302268885399721e-11,29596,366.65052709825653,374.8359575618327,0,nan,nan,1688,403.3969194312796,466.8080568720379,1757,336.9123505976096,466.9846328969835
pregrasp,25.0,11.166786383304487,4.2443407159545416e-10,1.1302268885399721e-11,29686,319.3986390891329,316.4699184800916,0,nan,nan,6380,357.0128526645768,439.10752351097176,6300,282.48603174603176,439.03
pregrasp,30.0,9.123410090200366,4.2443407159545416e-10,1.1302268885399721e-11,30055,319.42611878223255,273.2001330893362,0,nan,nan,10440,360.776724137931,420.244061302682,10366,278.49382596951574,420.33079297704035
pregrasp,35.0,7.063747350981567,4.2443407159545416e-10,1.1302268885399721e-11,31454,319.43142366630633,229.04679849939595,0,nan,nan,16579,372.5146872549611,407.8657940768442,16515,266.58371177717225,408.05183166818045
grasp,15.0,9.174489448818566,7.1138926443733285e-12,1.8126938463153907e-13,34736,380.7102429755873,405.2564774297559,0,nan,nan,0,nan,nan,0,nan,nan
grasp,25.0,11.166786383304487,7.1138926443733285e-12,1.8126938463153907e-13,46914,319.5,375.1931619559193,0,nan,nan,570,361.2456140350877,476.0543859649123,570,277.7543859649123,476.0543859649123
grasp,30.0,9.123410090200366,7.1138926443733285e-12,1.8126938463153907e-13,48186,319.48841987299215,333.9279666293114,0,nan,nan,4895,365.80102145045964,453.43758937691524,4889,273.2562896297811,453.43546737574144
grasp,35.0,7.063747350981567,7.1138926443733285e-12,1.8126938463153907e-13,49168,319.49635942076145,288.43233403839895,0,nan,nan,11215,380.1991975033437,436.7709317877842,11213,258.8059395344689,436.7779363239097
preplace,15.0,9.174489448818566,2.8242549548924618e-11,3.849625598509289e-13,0,nan,nan,93814,350.8353337454964,263.9701110708423,3087,398.94493035309364,455.3530936183997,3196,336.07509386733415,455.5578848560701
preplace,25.0,11.166786383304487,2.8242549548924618e-11,3.849625598509289e-13,0,nan,nan,107592,319.5,201.36294520038663,7773,355.50533899395344,428.8523092756979,7677,283.9766836003647,428.740263123616
preplace,30.0,9.123410090200366,2.8242549548924618e-11,3.849625598509289e-13,0,nan,nan,118511,319.4993376142299,147.4529621722878,11764,359.4075994559674,411.1473138388303,11677,279.86708914961036,411.227113128372
preplace,35.0,7.063747350981567,2.8242549548924618e-11,3.849625598509289e-13,0,nan,nan,102163,319.4944353630962,129.75389328817673,17876,370.7967666144551,399.8759789662117,17799,268.3098488679139,400.0819147143098
place,15.0,9.174489448818566,2.0302615432069487e-11,1.541608562268837e-13,0,nan,nan,173032,353.39819224189745,280.4775128299968,0,nan,nan,0,nan,nan
place,25.0,11.166786383304487,2.0302615432069487e-11,1.541608562268837e-13,0,nan,nan,205856,319.5,225.49200411938443,1189,360.1631623212784,472.1177460050463,1189,278.8368376787216,472.1177460050463
place,30.0,9.123410090200366,2.0302615432069487e-11,1.541608562268837e-13,0,nan,nan,220554,319.5,180.9237012250968,5488,365.0266034985423,449.88301749271136,5486,273.99325555960627,449.87331388990157
place,35.0,7.063747350981567,2.0302615432069487e-11,1.541608562268837e-13,0,nan,nan,196800,319.5,164.66693089430893,11800,379.2112711864407,433.64898305084745,11800,259.7887288135593,433.64898305084745
